"","STNID","NAME","CTRY","COUNTRY_NAME","ISO2C","ISO3C","STATE","LATITUDE","LONGITUDE","ELEVATION","BEGIN","END","YEARMODA","YEAR","MONTH","DAY","YDAY","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","I_FOG","I_RAIN_DRIZZLE","I_SNOW_ICE","I_HAIL","I_THUNDER","I_TORNADO_FUNNEL","EA","ES","RH"
"11","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-11,2000,1,11,11,0.8,24,-1.3,23,1037.3,17,NA,0,7.2,24,3.8,24,5.7,NA,3.4,NA,-1,"*",0,"D",NA,0,0,0,0,0,0,0.6,0.6,85.8
"12","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-12,2000,1,12,12,0.4,24,-2.2,24,1030.3,21,NA,0,10.3,24,6.1,24,7.7,NA,2,"*",-1,"*",0,"D",NA,0,0,0,0,0,0,0.5,0.6,82.7
"13","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-13,2000,1,13,13,1.8,24,-1.9,24,1018.7,21,NA,0,9.8,24,4.5,24,7.2,NA,3,NA,0.4,NA,0.76,"E",NA,0,1,1,0,0,0,0.5,0.7,76.5
"14","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-14,2000,1,14,14,2.2,24,1.2,24,1021.4,23,NA,0,3.2,24,2.3,24,8,NA,3.6,NA,1,NA,0,"E",NA,0,0,0,0,0,0,0.7,0.7,93.1
"15","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-15,2000,1,15,15,1.9,24,0.9,24,1033.8,21,NA,0,2.4,24,2.8,24,5.1,NA,4.2,NA,0.9,"*",0.76,"E",NA,1,1,0,0,0,0,0.7,0.7,93.1
"16","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-16,2000,1,16,16,2.7,24,1.9,24,1036.9,17,NA,0,4,24,1.9,17,3,3.1,5.2,"*",0,"*",0.25,"E",NA,1,1,0,0,0,0,0.7,0.7,94.5
"17","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-17,2000,1,17,17,5.3,22,3.8,22,1033,22,NA,0,7.1,22,4.2,22,6,NA,8.2,"*",3.6,"*",0.25,"E",NA,0,1,0,0,0,0,0.8,0.9,90
"18","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-18,2000,1,18,18,5.8,24,4.1,24,1028.5,22,NA,0,9.8,24,5,24,9,11.3,7.6,NA,4,"*",1.52,"F",NA,0,1,0,0,0,0,0.8,0.9,88.8
"19","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-19,2000,1,19,19,3.8,24,0.9,24,1032.5,20,NA,0,14.3,24,2.5,24,5,NA,5,"*",2,"*",0.76,"E",NA,0,1,0,0,0,0,0.7,0.8,81.4
"20","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-20,2000,1,20,20,3.2,24,1.5,24,1032.7,18,NA,0,10.6,24,4,24,8,NA,4.4,NA,1.8,NA,0.76,"F",NA,0,1,0,0,0,0,0.7,0.8,88.6
"21","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-21,2000,1,21,21,4.7,24,3.4,24,1027.9,19,NA,0,10,24,4.1,24,5.7,NA,6.2,NA,3,"*",3.05,"F",NA,0,1,0,0,0,0,0.8,0.9,91.3
"22","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-22,2000,1,22,22,3.5,24,2.2,24,1014.1,20,NA,0,8.7,24,4.9,24,9,NA,5,NA,2.4,"*",4.32,"F",NA,0,1,0,0,0,0,0.7,0.8,91.2
"23","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-23,2000,1,23,23,2.1,24,0.3,24,1018.3,19,NA,0,14,24,4.3,24,8.2,NA,4.8,NA,-2.2,"*",1.78,"F",NA,0,1,0,0,0,0,0.6,0.7,87.9
"24","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-24,2000,1,24,24,-2.7,24,-5.1,24,1025.2,23,NA,0,10.3,24,2,23,4,NA,0,"*",-5,"*",0,"I",NA,0,0,0,0,0,0,0.4,0.5,83.5
"25","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-25,2000,1,25,25,-1.2,24,-5.8,24,1029.6,24,NA,0,11.1,24,2,24,3,NA,2.6,NA,-4.8,NA,0,"I",NA,0,0,0,0,0,0,0.4,0.6,70.9
"26","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-26,2000,1,26,26,0.3,24,-3.8,24,1033.3,23,NA,0,8.5,24,3.2,24,5,NA,2.8,NA,-1.6,NA,0,"I",NA,0,0,0,0,0,0,0.5,0.6,74
"27","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-27,2000,1,27,27,-0.6,24,-5.3,24,1030.3,21,NA,0,9.3,23,4.3,24,6,NA,5,"*",-2.4,"*",0,"I",NA,0,0,0,0,0,0,0.4,0.6,70.5
"28","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-28,2000,1,28,28,1.1,24,-1.4,24,1017.8,17,NA,0,6.6,23,6.9,24,15,NA,5,"*",-2.7,NA,0,"I",NA,0,0,0,0,0,0,0.6,0.7,83.4
"29","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-29,2000,1,29,29,7.9,24,6.8,24,1002.5,20,NA,0,7.4,24,11.1,24,14.4,20.1,10.4,"*",3,NA,6.1,"F",NA,0,1,0,0,0,0,1,1.1,92.8
"30","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-30,2000,1,30,30,9.7,24,8.1,24,1013.6,21,NA,0,9,24,7.9,24,11.3,NA,10.6,NA,8.8,NA,9.14,"F",NA,0,1,0,0,0,0,1.1,1.2,89.8
"31","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-31,2000,1,31,31,9.6,24,6.3,24,1022.6,20,NA,0,14.3,24,8.5,24,12.3,17,10.5,NA,8.8,"*",0.51,"E",NA,0,1,0,0,0,0,1,1.2,79.9
"32","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-01,2000,2,1,32,8.3,24,5.2,24,1019.5,21,NA,0,14.8,24,6,24,8.2,NA,9.2,NA,7,"*",0,"E",NA,0,1,0,0,0,0,0.9,1.1,80.8
"33","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-02,2000,2,2,33,6.2,24,3.8,24,1019.7,18,NA,0,10.6,24,5.4,24,12,NA,8.5,NA,4,"*",1.02,"E",NA,0,1,0,0,0,0,0.8,0.9,84.6
"34","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-03,2000,2,3,34,5.1,24,2.3,24,1033.1,24,NA,0,14.8,24,4.1,24,6,NA,7.2,NA,2.8,NA,NA,NA,NA,0,1,0,0,0,0,0.7,0.9,82.1
"35","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-04,2000,2,4,35,6.7,23,4.2,23,1034,19,NA,0,9.8,23,7.6,23,10.3,NA,9,"*",5.4,NA,0.51,"F",NA,0,1,0,0,0,0,0.8,1,84.1
"36","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-05,2000,2,5,36,8.3,24,1.4,24,1029.5,22,NA,0,13.7,24,5.4,24,9,NA,13.5,NA,4,"*",2.03,"E",NA,0,0,0,0,0,0,0.7,1.1,61.8
"37","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-06,2000,2,6,37,7.6,22,4.4,22,1020.8,19,NA,0,7.4,22,5.7,22,8,NA,10,"*",5,"*",NA,NA,NA,0,1,0,0,0,0,0.8,1,80.2
"38","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-07,2000,2,7,38,7.7,24,5.3,24,1014.9,20,NA,0,8.7,24,8.5,24,12,15.9,10,"*",6,"*",9.14,"F",NA,0,1,0,0,0,0,0.9,1,84.8
"39","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-08,2000,2,8,39,9.4,24,6.1,24,1008.6,18,NA,0,13.4,24,8.8,24,12,17,12,NA,6,"*",8.38,"F",NA,0,1,0,0,0,0,0.9,1.2,79.9
"40","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-09,2000,2,9,40,6.1,24,0.5,24,1021.4,22,NA,0,15.9,24,7.7,24,18,NA,8,"*",4.8,NA,0.76,"E",NA,0,1,0,0,0,0,0.6,0.9,67.3
"41","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-10,2000,2,10,41,5.6,24,2.4,24,1020.1,17,NA,0,12.2,24,7.3,24,11.3,17.5,8.2,NA,2.6,"*",10.92,"E",NA,0,1,0,0,0,0,0.7,0.9,79.9
"42","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-11,2000,2,11,42,3.2,24,-0.1,24,1028.9,20,NA,0,16.4,24,3.5,24,6,7.2,7.8,NA,0,"*",1.02,"E",NA,0,0,0,0,0,0,0.6,0.8,79
"43","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-12,2000,2,12,43,4.3,24,1.5,24,1023,20,NA,0,13,24,7,24,12.9,20.6,8,"*",1.4,NA,9.91,"E",NA,0,1,0,0,0,0,0.7,0.8,82
"44","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-13,2000,2,13,44,5.5,24,2.2,24,1019.8,19,NA,0,15.1,24,4.4,24,8,NA,9,NA,1,"*",3.05,"F",NA,0,1,0,0,0,0,0.7,0.9,79.3
"45","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-14,2000,2,14,45,4.8,24,1.4,24,1021.9,21,NA,0,11.3,24,4.5,24,8,NA,10.5,NA,0,NA,0.51,"E",NA,0,1,0,0,0,0,0.7,0.9,78.6
"46","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-15,2000,2,15,46,7.1,24,5,24,1013.8,20,NA,0,9.7,24,4.3,24,5.7,NA,8.6,"*",4.8,"*",5.08,"F",NA,0,1,0,0,0,0,0.9,1,86.5
"47","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-16,2000,2,16,47,3.6,24,-0.5,24,1003.4,21,NA,0,15.4,24,6.8,24,12,19,6,"*",0.8,"*",7.87,"F",NA,0,1,1,1,0,0,0.6,0.8,74.6
"48","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-17,2000,2,17,48,2.6,24,-1.1,24,1010.2,21,NA,0,12.6,24,4.4,24,9,NA,5.8,NA,0,"*",2.03,"E",NA,0,1,1,1,0,0,0.6,0.7,76.6
"49","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-18,2000,2,18,49,5.2,24,2.6,24,1004.7,17,NA,0,9.5,24,6,24,9.3,NA,8.4,NA,0.7,NA,7.11,"F",NA,0,1,1,0,0,0,0.7,0.9,83.3
"50","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-19,2000,2,19,50,4.8,24,2,24,1009.7,24,NA,0,15.8,24,5,24,7,15.4,7.4,NA,2,"*",5.08,"F",NA,0,1,0,0,0,0,0.7,0.9,82.1
"51","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-20,2000,2,20,51,2.5,23,0.3,23,1028.1,23,NA,0,13,23,2.3,23,4.6,NA,6.6,NA,0,"*",0.76,"E",NA,0,1,0,0,0,0,0.6,0.7,85.4
"52","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-21,2000,2,21,52,3.4,23,0.3,23,1028.5,18,NA,0,7.6,23,4,22,8,NA,6.6,NA,-0.2,NA,0.76,"E",NA,0,1,0,0,0,0,0.6,0.8,80.1
"53","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-22,2000,2,22,53,4.3,24,1.4,24,1025.5,19,NA,0,8.2,24,2.3,21,5,NA,7.4,NA,1,"*",0.25,"E",NA,0,1,0,0,0,0,0.7,0.8,81.4
"54","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-23,2000,2,23,54,6.9,23,2.7,23,1024.4,18,NA,0,9.7,23,4.2,23,6.2,NA,10.8,NA,3.4,NA,0.76,"E",NA,0,1,0,0,0,0,0.7,1,74.6
"55","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-24,2000,2,24,55,8.4,24,6.8,24,1022.1,19,NA,0,6.4,24,5.1,24,8.2,NA,11.2,"*",6,"*",0,"E",NA,0,1,0,0,0,0,1,1.1,89.7
"56","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-25,2000,2,25,56,6.6,24,2.7,24,1025.7,23,NA,0,14.6,24,4.8,24,11.3,17.5,12,"*",2.9,"*",11.94,"F",NA,0,1,0,0,0,0,0.7,1,76.2
"57","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-26,2000,2,26,57,4.2,24,-1.5,24,1031.8,21,NA,0,13.2,23,2.6,24,4.6,NA,8.4,NA,0.8,NA,0,"I",NA,0,0,0,0,0,0,0.5,0.8,66.4
"58","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-27,2000,2,27,58,7.7,24,1.9,24,1022.9,23,NA,0,13.8,24,5.7,24,10,NA,14.2,NA,1,NA,0,"I",NA,0,0,0,0,0,0,0.7,1,66.7
"59","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-28,2000,2,28,59,9.1,24,5.4,24,1013.6,18,NA,0,13.8,24,8.2,23,12,16.5,13,"*",5.5,"*",6.1,"E",NA,0,1,0,0,0,0,0.9,1.2,77.6
"60","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-02-29,2000,2,29,60,6.3,23,3.6,23,1008.7,19,NA,0,13.4,23,8.3,23,13,19,8.1,NA,4,"*",3.05,"E",NA,0,1,0,0,0,0,0.8,1,82.9
"61","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-03-01,2000,3,1,61,4.9,23,2.5,23,1005.9,20,NA,0,13.4,23,5,23,7.2,12.3,7.4,NA,2.6,"*",8.89,"F",NA,0,1,1,1,0,0,0.7,0.9,84.5
"62","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-03-02,2000,3,2,62,4.3,24,0.2,24,1019.5,22,NA,0,13.4,24,7.3,24,13,17.5,8,"*",0.4,NA,0.76,"F",NA,0,1,0,0,0,0,0.6,0.8,74.7
"63","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-03-03,2000,3,3,63,5.7,24,4.4,24,1007.1,18,NA,0,10.5,24,8.4,24,14.4,21.1,9,"*",2.9,"*",19.05,"E",NA,0,1,0,0,0,0,0.8,0.9,91.3
"64","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-03-04,2000,3,4,64,2.1,24,-1.6,24,1024.3,17,NA,0,15.8,24,4.7,24,8.7,NA,5,"*",-2,"*",3.05,"F",NA,0,1,1,0,0,0,0.5,0.7,76.5
"65","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-03-05,2000,3,5,65,3.4,24,-1.4,23,1032.6,23,1017,4,18,24,4.3,24,7.2,NA,7.4,NA,-1,"*",0.76,"A",NA,0,0,0,0,0,0,0.6,0.8,70.8
"66","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-03-06,2000,3,6,66,5.8,24,-0.6,24,1029.4,24,NA,0,15.9,24,5.9,24,9.3,NA,9.4,NA,1,"*",0,"I",NA,0,0,0,0,0,0,0.6,0.9,63.5
"67","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-03-07,2000,3,7,67,8.7,24,4.7,24,1024.5,19,NA,0,11.1,24,7.3,24,10.3,13.4,12,NA,6.4,NA,0.76,"F",NA,0,1,0,0,0,0,0.9,1.1,76
"68","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-03-08,2000,3,8,68,10.2,24,8.4,24,1022.3,19,NA,0,8.2,24,8.5,24,11.3,NA,12,"*",8,NA,4.06,"F",NA,0,1,0,0,0,0,1.1,1.2,88.6
"69","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-03-09,2000,3,9,69,11.1,24,8.7,24,1023.7,22,1010.1,7,9.2,24,7.3,24,10.3,NA,13,NA,9.8,NA,0.25,"F",NA,0,1,0,0,0,0,1.1,1.3,85.2
"70","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-03-10,2000,3,10,70,9.3,24,6.6,24,1026.1,19,NA,0,8.2,24,4.3,23,7.2,NA,12,NA,7,"*",0.76,"E",NA,0,1,0,0,0,0,1,1.2,83.2
"71","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-03-11,2000,3,11,71,8.3,23,5.4,23,1020.5,23,NA,0,10.3,23,5,23,8,NA,10.8,NA,5,"*",1.02,"F",NA,0,1,0,0,0,0,0.9,1.1,82
"72","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-03-12,2000,3,12,72,6.6,24,3.1,24,1026.6,21,NA,0,13.8,24,1.4,22,3,3.1,10.6,NA,2.8,NA,0,"I",NA,0,0,0,0,0,0,0.8,1,78.3
"73","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-03-13,2000,3,13,73,7.9,24,5.1,24,1026,19,NA,0,9.2,24,3.7,24,6,NA,11.6,NA,4,NA,0.76,"E",NA,0,1,0,0,0,0,0.9,1.1,82.5
"74","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-03-14,2000,3,14,74,8.4,24,6.3,24,1022.4,18,NA,0,9.7,24,5.5,24,8.2,14.4,12.8,NA,5,"*",4.32,"F",NA,0,1,0,0,0,0,1,1.1,86.6
"75","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-03-15,2000,3,15,75,5.4,24,-0.7,24,1030.8,23,NA,0,19.2,24,4,24,6.2,NA,9,NA,2,NA,0.76,"F",NA,0,1,0,0,0,0,0.6,0.9,64.8
"76","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-03-16,2000,3,16,76,7.7,24,5.3,24,1031.5,22,NA,0,6.9,24,4.3,24,6,NA,11.6,NA,5,"*",1.52,"F",NA,0,1,0,0,0,0,0.9,1,84.8
"77","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-03-17,2000,3,17,77,7.2,24,4.8,24,1030.9,20,NA,0,8.9,24,2.9,24,4,NA,9.8,NA,3.4,NA,0,"I",NA,0,0,0,0,0,0,0.9,1,84.7
"78","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-03-18,2000,3,18,78,6.1,24,3.1,24,1030.5,17,NA,0,9.7,24,3.5,24,6,NA,8.2,NA,4,"*",0.51,"F",NA,0,1,0,0,0,0,0.8,0.9,81.1
"79","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-03-19,2000,3,19,79,4.6,24,2.8,24,1033,19,NA,0,8.7,24,2.3,23,5.1,NA,7,"*",2,"*",1.27,"F",NA,1,1,0,0,0,0,0.7,0.8,88.1
"80","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-03-20,2000,3,20,80,5.1,24,0.9,24,1029.4,21,NA,0,6,24,1.5,21,5,NA,10,"*",0,NA,0,"I",NA,0,0,0,0,0,0,0.7,0.9,74.3
"81","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-03-21,2000,3,21,81,7.2,24,1.7,24,1022.9,23,NA,0,6.1,24,2.1,24,4,NA,13.2,NA,1.8,NA,0,"I",NA,0,0,0,0,0,0,0.7,1,68.1
"82","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-03-22,2000,3,22,82,9.8,24,1.7,24,1017,19,NA,0,9.2,23,2.7,20,8,NA,15.8,NA,2.6,NA,0,"I",NA,0,0,0,0,0,0,0.7,1.2,57.1
