Month Year	Price	Change
Aug 1989	164.24	-1.55
Sep 1989	163.51	-0.44
Oct 1989	164.61	0.67
Nov 1989	163.51	-0.67
Dec 1989	164.61	0.67
Jan 1990	167.92	2.01
Feb 1990	160.94	-4.16
Mar 1990	156.53	-2.74
Apr 1990	159.47	1.88
May 1990	149.18	-6.45
Jun 1990	135.58	-9.12
Jul 1990	124.93	-7.86
Aug 1990	116.84	-6.48
Sep 1990	114.27	-2.20
Oct 1990	114.64	0.32
Nov 1990	112.80	-1.61
Dec 1990	113.17	0.33
Jan 1991	111.33	-1.63
Feb 1991	113.91	2.32
Mar 1991	119.42	4.84
Apr 1991	120.89	1.23
May 1991	122.04	0.95
Jun 1991	120.15	-1.55
Jul 1991	118.21	-1.61
Aug 1991	125.33	6.02
Sep 1991	135.37	8.01
Oct 1991	146.89	8.51
Nov 1991	149.54	1.80
Dec 1991	160.84	7.56
Jan 1992	169.95	5.66
Feb 1992	177.13	4.22
Mar 1992	169.35	-4.39
Apr 1992	159.93	-5.56
May 1992	149.69	-6.40
Jun 1992	148.67	-0.68
Jul 1992	136.32	-8.31
Aug 1992	128.17	-5.98
Sep 1992	138.74	8.25
Oct 1992	140.58	1.33
Nov 1992	147.57	4.97
Dec 1992	147.83	0.18
Jan 1993	155.65	5.29
Feb 1993	148.88	-4.35
Mar 1993	147.90	-0.66
Apr 1993	141.99	-4.00
May 1993	136.58	-3.81
Jun 1993	121.82	-10.81
Jul 1993	127.52	4.68
Aug 1993	129.80	1.79
Sep 1993	131.29	1.15
Oct 1993	135.96	3.56
Nov 1993	146.50	7.75
Dec 1993	158.65	8.29
Jan 1994	153.21	-3.43
Feb 1994	147.04	-4.03
Mar 1994	141.04	-4.08
Apr 1994	140.45	-0.42
May 1994	140.15	-0.21
Jun 1994	139.30	-0.61
Jul 1994	137.60	-1.22
Aug 1994	146.02	6.12
Sep 1994	158.79	8.75
Oct 1994	167.19	5.29
Nov 1994	161.99	-3.11
Dec 1994	164.62	1.62
Jan 1995	156.21	-5.11
Feb 1995	154.42	-1.15
Mar 1995	150.39	-2.61
Apr 1995	148.98	-0.94
May 1995	158.61	6.46
Jun 1995	169.98	7.17
Jul 1995	190.09	11.83
Aug 1995	184.39	-3.00
Sep 1995	193.67	5.03
Oct 1995	203.79	5.23
Nov 1995	204.07	0.14
Dec 1995	208.92	2.38
Jan 1996	206.88	-0.98
Feb 1996	218.89	5.81
Mar 1996	215.52	-1.54
Apr 1996	251.66	16.77
May 1996	262.11	4.15
Jun 1996	227.27	-13.29
Jul 1996	202.60	-10.85
Aug 1996	191.63	-5.41
Sep 1996	178.71	-6.74
Oct 1996	178.32	-0.22
Nov 1996	176.41	-1.07
Dec 1996	175.70	-0.40
Jan 1997	175.73	0.02
Feb 1997	172.35	-1.92
Mar 1997	176.61	2.47
Apr 1997	183.49	3.90
May 1997	172.59	-5.94
Jun 1997	148.39	-14.02
Jul 1997	138.31	-6.79
Aug 1997	150.61	8.89
Sep 1997	151.74	0.75
Oct 1997	151.66	-0.05
Nov 1997	149.88	-1.17
Dec 1997	144.62	-3.51
Jan 1998	137.10	-5.20
Feb 1998	140.05	2.15
Mar 1998	138.92	-0.81
Apr 1998	130.15	-6.31
May 1998	128.92	-0.95
Jun 1998	120.64	-6.42
Jul 1998	118.54	-1.74
Aug 1998	107.95	-8.93
Sep 1998	107.93	-0.02
Oct 1998	126.54	17.24
Nov 1998	130.21	2.90
Dec 1998	126.21	-3.07
Jan 1999	125.29	-0.73
Feb 1999	117.03	-6.59
Mar 1999	117.34	0.26
Apr 1999	113.87	-2.96
May 1999	113.00	-0.76
Jun 1999	111.41	-1.41
Jul 1999	103.02	-7.53
Aug 1999	111.41	8.14
Sep 1999	113.19	1.60
Oct 1999	108.10	-4.50
Nov 1999	108.80	0.65
Dec 1999	102.16	-6.10
Jan 2000	105.83	3.59
Feb 2000	108.41	2.44
Mar 2000	105.70	-2.50
Apr 2000	105.11	-0.56
May 2000	110.78	5.39
Jun 2000	113.51	2.46
Jul 2000	108.98	-3.99
Aug 2000	108.28	-0.64
Sep 2000	117.49	8.51
Oct 2000	128.22	9.13
Nov 2000	127.73	-0.38
Dec 2000	128.01	0.22
Jan 2001	132.84	3.77
Feb 2001	128.12	-3.55
Mar 2001	130.28	1.69
Apr 2001	129.30	-0.75
May 2001	135.00	4.41
Jun 2001	127.23	-5.76
Jul 2001	123.79	-2.70
Aug 2001	121.92	-1.51
Sep 2001	122.03	0.09
Oct 2001	123.34	1.07
Nov 2001	125.27	1.56
Dec 2001	122.53	-2.19
Jan 2002	125.31	2.27
Feb 2002	123.28	-1.62
Mar 2002	122.56	-0.58
Apr 2002	123.72	0.95
May 2002	121.46	-1.83
Jun 2002	132.03	8.70
Jul 2002	149.30	13.08
Aug 2002	161.26	8.01
Sep 2002	187.84	16.48
Oct 2002	190.32	1.32
Nov 2002	176.26	-7.39
Dec 2002	168.98	-4.13
Jan 2003	149.60	-11.47
Feb 2003	150.84	0.83
Mar 2003	141.81	-5.99
Apr 2003	138.62	-2.25
May 2003	141.96	2.41
Jun 2003	131.35	-7.47
Jul 2003	131.62	0.21
Aug 2003	148.72	12.99
Sep 2003	145.62	-2.08
Oct 2003	147.46	1.26
Nov 2003	160.55	8.88
Dec 2003	165.57	3.13
Jan 2004	166.33	0.46
Feb 2004	161.39	-2.97
Mar 2004	166.28	3.03
Apr 2004	166.58	0.18
May 2004	163.73	-1.71
Jun 2004	154.74	-5.49
Jul 2004	150.60	-2.68
Aug 2004	141.29	-6.18
Sep 2004	151.03	6.89
Oct 2004	150.15	-0.58
Nov 2004	156.57	4.28
Dec 2004	153.87	-1.72
Jan 2005	153.59	-0.18
Feb 2005	151.30	-1.49
Mar 2005	150.99	-0.20
Apr 2005	140.88	-6.70
May 2005	144.25	2.39
Jun 2005	141.93	-1.61
Jul 2005	143.87	1.37
Aug 2005	149.36	3.82
Sep 2005	159.71	6.93
Oct 2005	167.83	5.08
Nov 2005	161.12	-4.00
Dec 2005	164.44	2.06
Jan 2006	167.16	1.65
Feb 2006	179.84	7.59
Mar 2006	174.44	-3.00
Apr 2006	180.35	3.39
May 2006	193.17	7.11
Jun 2006	195.16	1.03
Jul 2006	202.43	3.73
Aug 2006	189.91	-6.18
Sep 2006	195.98	3.20
Oct 2006	212.09	8.22
Nov 2006	205.81	-2.96
Dec 2006	204.31	-0.73
Jan 2007	196.07	-4.03
Feb 2007	199.98	1.99
Mar 2007	199.10	-0.44
Apr 2007	198.31	-0.40
May 2007	195.72	-1.31
Jun 2007	223.04	13.96
Jul 2007	238.41	6.89
Aug 2007	259.73	8.94
Sep 2007	326.54	25.72
Oct 2007	335.15	2.64
Nov 2007	321.81	-3.98
Dec 2007	368.62	14.55
Jan 2008	369.59	0.26
Feb 2008	425.00	14.99
Mar 2008	439.72	3.46
Apr 2008	362.23	-17.62
May 2008	328.76	-9.24
Jun 2008	348.55	6.02
Jul 2008	328.18	-5.84
Aug 2008	329.34	0.35
Sep 2008	295.55	-10.26
Oct 2008	237.38	-19.68
Nov 2008	226.85	-4.44
Dec 2008	220.14	-2.96
Jan 2009	239.36	8.73
Feb 2009	224.69	-6.13
Mar 2009	230.98	2.80
Apr 2009	233.47	1.08
May 2009	256.70	9.95
Jun 2009	253.41	-1.28
Jul 2009	224.95	-11.23
Aug 2009	210.37	-6.48
Sep 2009	191.09	-9.16
Oct 2009	198.85	4.06
Nov 2009	211.04	6.13
Dec 2009	206.25	-2.27
Jan 2010	201.51	-2.30
Feb 2010	194.54	-3.46
Mar 2010	191.07	-1.78
Apr 2010	192.82	0.92
May 2010	181.88	-5.67
Jun 2010	157.67	-13.31
Jul 2010	195.82	24.20
Aug 2010	246.25	25.75
Sep 2010	271.69	10.33
Oct 2010	270.23	-0.54
Nov 2010	274.08	1.42
Dec 2010	306.53	11.84
Jan 2011	326.55	6.53
Feb 2011	348.15	6.61
Mar 2011	319.51	-8.23
Apr 2011	338.04	5.80
May 2011	355.19	5.07
Jun 2011	327.35	-7.84
Jul 2011	306.81	-6.27
Aug 2011	330.69	7.78
Sep 2011	313.99	-5.05
Oct 2011	293.95	-6.38
Nov 2011	279.25	-5.00
Dec 2011	265.37	-4.97
Jan 2012	279.25	5.23
Feb 2012	281.09	0.66
Mar 2012	292.28	3.98
